Date,^OEX
2002-01-31,
2002-02-28,-0.0193203321392158
2002-03-31,0.027488883040634127
2002-04-30,-0.07868546747076577
2002-05-31,-0.006010541059897734
2002-06-30,-0.07384734729475972
2002-07-31,-0.06375989617099409
2002-08-31,0.0042059683490274224
2002-09-30,-0.11621091408758466
2002-10-31,0.10791899866674348
2002-11-30,0.06128101318356638
2002-12-31,-0.07121229125795192
2003-01-31,-0.02738615553857504
2003-02-28,-0.01666787306234163
2003-03-31,0.008863126906810681
2003-04-30,0.08482276578731551
2003-05-31,0.03795676642551138
2003-06-30,0.01487997156408527
2003-07-31,0.018107983645630377
2003-08-31,0.008191953107316907
2003-09-30,-0.009535894653239674
2003-10-31,0.04296370149038853
2003-11-30,0.0014616135123892704
2003-12-31,0.0576872136303177
2004-01-31,0.017302675759476527
2004-02-29,0.007549357475649332
2004-03-31,-0.023753806048225967
2004-04-30,-0.01859815272111609
2004-05-31,0.00785756537796356
2004-06-30,0.016032854834791
2004-07-31,-0.0292487629765964
2004-08-31,0.00204593273952125
2004-09-30,-0.007257334368919399
2004-10-31,0.010825336015170883
2004-11-30,0.03111059933325877
2004-12-31,0.03196586051396233
2005-01-31,-0.018095175549949327
2005-02-28,0.016870783492674235
2005-03-31,-0.021900657444751892
2005-04-30,-0.016179318617672078
2005-05-31,0.021257734572484477
2005-06-30,-0.011373067762442846
2005-07-31,0.026018276095626902
2005-08-31,-0.014512997378299364
2005-09-30,0.004465794224959074
2005-10-31,-0.017748761071371577
2005-11-30,0.03200777317382375
2005-12-31,-0.007936503721056032
2006-01-31,0.015385999177631504
2006-02-28,0.0035419730182795206
2006-03-31,0.011931394560092734
2006-04-30,0.013849450699170651
2006-05-31,-0.024652204400627542
2006-06-30,-0.002821773251878934
2006-07-31,0.01583958988621048
2006-08-31,0.022573698547654786
2006-09-30,0.029898840795404613
2006-10-31,0.033127392314589166
2006-11-30,0.014159275677151806
2006-12-31,0.016578348397954024
2007-01-31,0.009645608654292204
2007-02-28,-0.03455418286416878
2007-03-31,0.009553584533133375
2007-04-30,0.047331100759048894
2007-05-31,0.03199877687577857
2007-06-30,-0.013752221922832875
2007-07-31,-0.024568065954652996
2007-08-31,0.017343648839252657
2007-09-30,0.03930356333035845
2007-10-31,0.013870081197969952
2007-11-30,-0.04468524851772371
2007-12-31,-0.009219260166057786
2008-01-31,-0.06211627702028455
2008-02-29,-0.04578111304260335
2008-03-31,0.00014671434468427336
2008-04-30,0.044467219126755
2008-05-31,-0.0028860773571567355
2008-06-30,-0.0908393887832829
2008-07-31,0.004852856113057857
2008-08-31,0.011851217248518564
2008-09-30,-0.08012461365562284
2008-10-31,-0.1459088285301655
2008-11-30,-0.06742925876978512
2008-12-31,-0.003118589151593132
2009-01-31,-0.09329380583129421
2009-02-28,-0.11007464592769167
2009-03-31,0.08368517665638775
2009-04-30,0.07592419089195679
2009-05-31,0.05310344226254626
2009-06-30,0.004911605658870943
2009-07-31,0.07121911707560269
2009-08-31,0.031438753994881274
2009-09-30,0.028689981256693198
2009-10-31,-0.012368195903414314
2009-11-30,0.05894547660154492
2009-12-31,0.006559182137972908
2010-01-31,-0.03695856664210251
2010-02-28,0.022157590138856875
2010-03-31,0.05700900234185591
2010-04-30,0.010039177472753513
2010-05-31,-0.08739918038379801
2010-06-30,-0.051535317786735924
2010-07-31,0.07037315105662989
2010-08-31,-0.049604416440327204
2010-09-30,0.0818320502368346
2010-10-31,0.03579070630414005
2010-11-30,-0.00628430350734599
2010-12-31,0.06828015267949561
2011-01-31,0.023555319808458153
2011-02-28,0.02888324511512197
2011-03-31,-0.005436692311686531
2011-04-30,0.026336292276774476
2011-05-31,-0.01809874485282703
2011-06-30,-0.016758202710246195
2011-07-31,-0.012923374175512037
2011-08-31,-0.0546987555026609
2011-09-30,-0.06321055095919226
2011-10-31,0.09739564149748658
2011-11-30,-0.002502748028385793
2011-12-31,0.01571278331097581
2012-01-31,0.0403651779979155
2012-02-29,0.043143651179410325
2012-03-31,0.03427230615931376
2012-04-30,-0.008163171206435171
2012-05-31,-0.06005198433650338
2012-06-30,0.04441733541971549
2012-07-31,0.01910804842775926
2012-08-31,0.01678356415210347
2012-09-30,0.026902454124960284
2012-10-31,-0.02603188999621997
2012-11-30,-0.00020108407920105265
2012-12-31,0.00034030646844795953
2013-01-31,0.043735837579896186
2013-02-28,0.0113203847776846
2013-03-31,0.03229158730209836
2013-04-30,0.02045215236915454
2013-05-31,0.02037612285742818
2013-06-30,-0.017733748182373166
2013-07-31,0.048028066923030854
2013-08-31,-0.0321888672156595
2013-09-30,0.023532004335891088
2013-10-31,0.04714486948811625
2013-11-30,0.02932124519538748
2013-12-31,0.02164047388763124
2014-01-31,-0.04140516071988609
2014-02-28,0.036140278062781084
2014-03-31,0.012209120005872043
2014-04-30,0.009478087978233907
2014-05-31,0.019866502023786037
2014-06-30,0.014987824678520223
2014-07-31,-0.007660512868251201
2014-08-31,0.03521027116667441
2014-09-30,-0.008806875578503237
2014-10-31,0.016499265846631195
2014-11-30,0.022829025450882057
2014-12-31,-0.00857852247810309
2015-01-31,-0.035866065869698205
2015-02-28,0.05671384288931702
2015-03-31,-0.02537087232653379
2015-04-30,0.01585382093791643
2015-05-31,0.010717139289638355
2015-06-30,-0.019274142238258518
2015-07-31,0.02518000888654015
2015-08-31,-0.06756310488308781
2015-09-30,-0.022989520641106043
2015-10-31,0.09251877910693218
2015-11-30,-0.00032370222082778177
2015-12-31,-0.016201815256325025
2016-01-31,-0.04727731824339987
2016-02-29,-0.010249469261819355
2016-03-31,0.0622381900800828
2016-04-30,0.0022893615854846505
2016-05-31,0.013802982025773236
2016-06-30,0.0005174154650113838
2016-07-31,0.036223368429331604
2016-08-31,-0.0017364002185144
2016-09-30,-0.0014582372189207993
2016-10-31,-0.015448322351296229
2016-11-30,0.026454948104565057
2016-12-31,0.023316507570018574
2017-01-31,0.013142662006530692
2017-02-28,0.04190313793953515
2017-03-31,-0.00046819570160416824
2017-04-30,0.008412448869945965
2017-05-31,0.007631390838512164
2017-06-30,0.004515835398540391
2017-07-31,0.019883658713934826
2017-08-31,0.004444770282165056
2017-09-30,0.016831457529179472
2017-10-31,0.02215450233013505
2017-11-30,0.027233697390643963
2017-12-31,0.0131530367940913
2018-01-31,0.05770191279424575
2018-02-28,-0.03959505768495619
2018-03-31,-0.037025635202467155
2018-04-30,0.0029031211848742355
2018-05-31,0.02427787184368002
2018-06-30,0.004701756785297384
2018-07-31,0.039564679586123974
2018-08-31,0.036351641455225625
2018-09-30,0.0057269368073429305
2018-10-31,-0.06600636066798327
2018-11-30,0.013525343344222174
2018-12-31,-0.09085933741938135
2019-01-31,0.06985560158262794
2019-02-28,0.026743751410408523
2019-03-31,0.02289241032065026
2019-04-30,0.042858424739436574
2019-05-31,-0.06909280954206043
2019-06-30,0.06785068565212193
2019-07-31,0.015129565053112248
2019-08-31,-0.01876102740036445
2019-09-30,0.017696029829292526
2019-10-31,0.026238365151587173
2019-11-30,0.03620643282035996
2019-12-31,0.031130491202459254
2020-01-31,0.0031479762121309207
2020-02-29,-0.08452275198777404
2020-03-31,-0.10340302446208116
2020-04-30,0.12677269641470112
2020-05-31,0.03857190819136114
2020-06-30,0.027057544421047686
2020-07-31,0.054441172274610095
2020-08-31,0.08904725330247998
2020-09-30,-0.047811383060399226
2020-10-31,-0.03391683420978797
2020-11-30,0.10023546092928237
2020-12-31,0.03721430924233493
2021-01-31,-0.006248183667538543
2021-02-28,0.012674393300372788
2021-03-31,0.040694897338109826
2021-04-30,0.05491483944754161
2021-05-31,0.0019570886714974645
2021-06-30,0.031608489999470635
2021-07-31,0.023921618526530075
2021-08-31,0.03351307164160566
2021-09-30,-0.04889928466419613
2021-10-31,0.07304675154077112
2021-11-30,-0.0020923874306262302
2021-12-31,0.036396554445523144
2022-01-31,-0.04646445655801534
2022-02-28,-0.04035633438960651
2022-03-31,0.03863734189491885
2022-04-30,-0.09885175774226895
2022-05-31,-0.004234990537710925
2022-06-30,-0.0780077052071163
2022-07-31,0.09270923431528288
2022-08-31,-0.04647882956372773
2022-09-30,-0.09577015271977918
2022-10-31,0.07058237335813344
2022-11-30,0.0500083530540687
2022-12-31,-0.06477524648844557
2023-01-31,0.06267369095114739
2023-02-28,-0.021334698295213506
2023-03-31,0.05450229123047401
2023-04-30,0.020646360081819637
2023-05-31,0.022774288283152755
2023-06-30,0.060203738126983763
2023-07-31,0.03259119481903916
2023-08-31,-0.013192665364492262
2023-09-30,-0.049251647756271444
2023-10-31,-0.016126561525508065
2023-11-30,0.0896769117318863
2023-12-31,0.03784857465464753
2024-01-31,0.023379064688931583
2024-02-29,0.05453427417698675
2024-03-31,0.027174778451744874
2024-04-30,-0.037489227714542106
2024-05-31,0.05688790274322586
2024-06-30,0.04899968805301125
2024-07-31,0.004324776322177204
2024-08-31,0.021082947254815965
2024-09-30,0.021875240469964474
2024-10-31,-0.0057756167985659745
2024-11-30,0.05330204495091695
2024-12-31,-0.004361140993236701
2025-01-31,0.02105025838835073
2025-02-28,-0.016705821172024238
2025-03-31,-0.06616306218002377
2025-04-30,-0.005553974368919579
2025-05-31,0.07054142317352285
2025-06-30,0.05580243365413806
2025-07-31,0.028071442192305396
2025-08-31,0.020582489754054523
2025-09-30,0.04255338816690135
2025-10-31,0.03573209469438532
